# Instantané Wikidata : identifiant Mérimée (P380) -> fichier Commons (P18).
# Généré par `python -m merimee_etl.wikidata`, jamais à la main.
# Ce n'est pas une décision éditoriale, c'est une base tierce datée.
reference,fichier
PA00078014,Avit 2003 0718BE.JPG
PA00078015,"Aix-en-Othe, Eglise.JPG"
PA00078017,S6300976.jpg
PA00078018,Eglise Arcis-sur-Aube.jpg
PA00078019,Arrembécourt Église.JPG
PA00078020,Arsonval église1.JPG
PA00078021,Vue extérieure de l'église Saint-Loup-de-Sens à Auxon (Aube) 03.jpg
PA00078022,Menhir de la pierre au coq.jpg
PA00078023,"Avant-lès-Ramerupt, église, façade.jpg"
PA00078024,Eglise Saint-Phal Avirey-Lingey 05.JPG
PA00078025,P1010108 Bagneux-la-Fosse.JPG
PA00078026,BaillyLeFranc035.JPG
PA00078027,Balignicourt Église (2).JPG
PA00078029,Mairie Bar s Aube.JPG
PA00078030,Bar sur Aube Saint Maclou.JPG
PA00078031,Bar-sur-Aube - Eglise Saint-Pierre 05.jpg
PA00078032,Bar-sur-Aube - Bibliothèque.jpg
PA00078033,Bar-sur-Aube (10) Le Petit-Clairvaux - Extérieur.jpg
PA00078035,Porte d'entrée.JPG
PA00078037,Maison des Trois Tours.JPG
PA00078038,BsAruedAube1.JPG
PA00078039,BsAruedAube.JPG
PA00078041,"Porte charretière - Prieuré, Bar-sur-Aube.jpg"
PA00078042,Bar-sur-Aube - Prefecture.jpg
PA00078043,Bar-sur-Seine - Commanderie d'Avalleur - 3.jpg
PA00078044,Barsseinechato.JPG
PA00078045,Bar-s-s st etienne.jpg
PA00078046,Maison à pans de bois Bar-sur-Seine 01.JPG
PA00078047,Porte de Chatillon 01.JPG
PA00078048,Château de Barberey-Saint-Sulpice.JPG
PA00078049,Barberey église.JPG
PA00078050,Pont-canal de Barberey-Saint-Sulpice 01.JPG
PA00078051,Bérulle Notre-Dame-de-la-Nativité 275.jpg
PA00078053,Magny-Fouchard chateau bossancourt.jpg
PA00078054,Eglise Saint-Laurent Bouilly 07.JPG
PA00078055,Bourguignons église.jpg
PA00078056,Bouyluxegliz.JPG
PA00078057,Abbaye de basse fontaine 06040.jpg
PA00078058,Brienne-la-Vieille (3).jpg
PA00078059,Brienne-la-Vieille église.jpg
PA00078061,Via Agrippa (Brienne).jpg
PA00078062,Brienne-le-chateau-2009.jpg
PA00078063,Brienne-le-Château Croix.jpg
PA00078064,Muse brienne le chateau.jpg
PA00078065,Brienne-le-Château église (19).jpg
PA00078066,HalleBrienne.JPG
PA00078067,Brienne-le-Château.jpg
PA00078069,Les tours sainte parisse et le chateau Chancenay 00417.jpg
PA00078070,Église de l'immaculée conception.JPG
PA00078071,Champignol Chapelle Romane2.JPG
PA00078072,Chaource eglise cote.JPG
PA00078073,La Chapelle-Saint-Luc (12).jpg
PA00078074,Chapelle Vallon église 18 juin 2008.JPG
PA00078075,Chappes Clocher.jpg
PA00078076,"Charmont-sous-Barbuise, château.jpg"
PA00078077,"Charmont-sous-Barbuise, église.jpg"
PA00078079,ChauffourLesBailly église1.JPG
PA00078080,Chavanges église février 2007 03.jpg
PA00078081,Chasséricourt Église.JPG
PA00078082,Chavanges.jpg
PA00078083,Chervey2.JPG
PA00078084,Chessylespregliz.jpg
PA00078085,Église de Clérey 02.JPG
PA00078086,"Coclois, église, sud.jpg"
PA00078088,Tympan de l'Église Saint-Louvent de Colombé-la-Fosse - Vierge et anges par Léon Moynet.jpg
PA00078090,Église Saint-Martin de Colombé-le-Sec - 5.jpg
PA00078091,Courtaoult (Aube).jpg
PA00078092,Courtenot église.jpg
PA00078093,Coussegrey juillet 2011 (1).jpg
PA00078094,"Creney, église.jpg"
PA00078095,Cussangy église.JPG
PA00078096,Dampierre Château.JPG
PA00078097,"Dampierre, église.jpg"
PA00078099,Eglise de Dienville DSC 0230.JPG
PA00078100,Donnement Église.JPG
PA00078101,Droupt-saint-Basle5209.jpg
PA00078102,Droupt Saint Basle.jpg
PA00078103,Droupt-Sainte-Marie.jpg
PA00078105,2014-03-06 Église Saint-Pierre-ès-Liens d'Ervy-le-Châtel.jpg
